Time,ID,Mode,Active Duration,LPM1 Duration,LPM4 Duration,Total Duration,Total Energy
23.412,2,Light,0,22,0,22,4950
23.43,2,Deep,0,8,14,22,1800
30.705,3,Light,0,28,0,29,6300
30.723,3,Deep,0,17,11,29,3825
37.882,1,Light,0,36,0,37,8100
37.901,1,Deep,0,17,19,37,3825
45.216,10,Light,0,43,0,44,9675
45.235,10,Deep,0,31,12,44,6975
52.55,5,Light,0,50,0,51,11250
52.568,5,Deep,0,44,6,51,9900
57.309,9,Light,0,55,0,56,12375
57.328,9,Deep,0,53,2,56,11925
65.912,6,Light,0,63,0,65,14175
65.931,6,Deep,0,60,3,65,13500
74.615,8,Light,0,72,0,74,16200
74.634,8,Deep,0,69,3,74,15525
109.666,2,Light,1,106,0,109,24840
109.686,2,Deep,1,16,90,109,4593
114.732,2,Light,1,111,0,114,25965
114.751,2,Deep,1,16,95,114,4593
119.732,2,Light,1,116,0,119,27090
119.752,2,Deep,1,16,100,119,4596
131.012,3,Light,1,128,0,129,29790
131.031,3,Deep,1,23,105,129,6171
136.131,3,Light,1,133,0,134,30915
136.15,3,Deep,1,23,110,134,6171
141.215,1,Light,1,139,0,140,32265
141.235,1,Deep,1,19,120,140,5271
151.368,10,Light,1,148,0,150,34290
151.387,10,Deep,1,35,113,150,8871
166.847,5,Light,1,163,0,165,37665
166.867,5,Deep,1,49,114,165,12021
168.173,5,Light,1,165,0,167,38115
168.193,5,Deep,1,50,115,167,12246
176.167,9,Light,1,173,0,175,39915
176.187,9,Deep,1,56,117,175,13596
178.893,9,Light,1,176,0,177,40590
178.913,9,Deep,1,56,120,177,13596
189.436,6,Light,1,187,0,188,43065
189.456,6,Deep,1,66,121,188,15846
192.334,6,Light,1,190,0,191,43740
192.354,6,Deep,1,66,124,191,15846
197.506,6,Light,1,195,0,196,44865
197.526,6,Deep,1,66,129,196,15846
211.625,8,Light,1,209,0,211,48015
211.645,8,Deep,1,75,134,211,17871
214.359,8,Light,1,212,0,214,48690
214.38,8,Deep,1,75,137,214,17871
230.008,7,Light,1,227,0,229,52065
230.028,7,Deep,1,90,137,229,21246
