Time,ID,Mode,Active Duration,LPM1 Duration,LPM4 Duration,Total Duration,Total Energy
210.694,1,Light,1,208,0,210,15935970
210.719,1,Deep,1,20,188,210,15893679
210.827,1,Light,1,208,0,210,16011990
210.852,1,Deep,1,20,188,210,15969699
224.421,2,Light,1,221,0,223,17003175
224.446,2,Deep,1,18,203,223,16957512
224.588,2,Light,1,221,0,224,17003175
224.613,2,Deep,1,18,203,224,16957512
238.336,10,Light,1,236,0,237,18070830
238.361,10,Deep,1,29,207,237,18024267
238.479,10,Light,1,236,0,237,18070830
238.505,10,Deep,1,29,207,237,18024267
252.719,3,Light,1,249,0,251,19138035
252.744,3,Deep,1,31,218,251,19088997
252.861,3,Light,1,250,0,251,19138260
252.887,3,Deep,1,32,218,251,19089222
271.336,4,Light,1,269,0,270,20586915
271.362,4,Deep,1,46,223,270,20536752
271.505,4,Light,1,269,0,270,20586915
271.531,4,Deep,1,46,223,270,20536752
280.408,9,Light,1,277,0,279,21272895
280.433,9,Deep,1,40,237,279,21219582
288.797,8,Light,1,286,0,288,21959100
288.822,8,Deep,1,59,227,288,21908037
288.965,8,Light,1,286,0,288,21959100
288.99,8,Deep,1,59,227,288,21908037
301.052,5,Light,1,298,0,300,22798020
301.077,5,Deep,1,61,237,300,22744707
309.746,6,Light,1,307,0,309,23560245
309.771,6,Deep,1,76,231,309,23508282
309.916,6,Light,1,308,0,309,23560470
309.941,6,Deep,1,77,231,309,23508507
320.918,7,Light,1,318,0,320,24398940
320.943,7,Deep,1,77,241,320,24344727
321.059,7,Light,1,318,0,320,24398940
321.084,7,Deep,1,77,241,320,24344727
529.078,1,Light,1,525,0,528,40257675
529.104,1,Deep,1,23,502,528,40144755
537.775,2,Light,1,535,0,537,40944105
537.801,2,Deep,1,25,510,537,40829385
537.892,2,Light,1,535,0,537,40944105
537.918,2,Deep,1,25,510,537,40829385
556.172,10,Light,1,553,0,555,42316515
556.197,10,Deep,1,40,513,555,42201120
556.253,10,Light,1,553,0,555,42316515
556.278,10,Deep,1,40,513,555,42201120
571.344,3,Light,1,568,0,570,43460190
571.369,3,Deep,1,42,526,570,43341870
571.525,3,Light,1,568,0,570,43460190
571.551,3,Deep,1,42,526,570,43341870
582.674,4,Light,1,579,0,582,44298885
582.7,4,Deep,1,53,526,582,44180565
582.755,4,Light,1,579,0,582,44374905
