Time,ID,Active Duration,LPM1 Duration,LPM4 Duration,RX Duration,TX Duration,Total Energy
212.353,1,1,210,0,211,0,8378520
213.465,2,1,211,0,212,0,8418225
224.082,10,1,222,0,223,0,8854980
224.652,3,1,222,0,223,0,8854980
236.741,4,1,235,0,236,0,9371145
237.789,9,1,235,0,236,0,9371145
254.13,8,1,252,0,253,0,10046130
255.062,5,1,253,0,253,0,10046355
269.871,6,0,268,0,269,0,10680420
271.827,7,1,270,0,271,0,10760820
412.377,1,1,410,0,411,0,16319520
413.489,2,1,411,0,412,0,16359225
424.106,10,1,421,0,423,0,16795755
424.676,3,1,422,0,423,0,16795980
436.765,4,1,434,0,436,0,17311920
437.813,9,1,435,0,436,0,17312145
454.154,8,1,452,0,453,0,17987130
455.085,5,1,452,0,453,0,17987130
469.894,6,1,468,0,469,0,18622410
471.85,7,1,469,0,471,0,18701595
612.401,1,2,609,0,611,0,24261285
613.513,2,2,610,0,612,0,24300990
624.13,10,1,621,0,623,0,24736755
624.699,3,1,621,0,623,0,24736755
636.789,4,1,634,0,636,0,25252920
637.836,9,1,635,0,636,0,25253145
654.177,8,1,652,0,653,0,25928130
655.109,5,1,652,0,653,0,25928130
669.918,6,1,667,0,669,0,26563185
671.873,7,1,669,0,671,0,26642595
812.424,1,2,809,0,811,0,32202285
813.536,2,2,810,0,812,0,32241990
824.153,10,1,821,0,823,0,32677755
824.723,3,1,821,0,823,0,32677755
836.812,4,1,834,0,836,0,33193920
837.86,9,1,835,0,836,0,33194145
854.201,8,1,852,0,853,0,33869130
855.132,5,1,852,0,854,0,33908610
869.941,6,1,867,0,869,0,34504185
871.897,7,1,869,0,871,0,34583595
1012.449,1,2,1009,0,1011,0,40143285
1013.561,2,2,1010,0,1012,0,40182990
1024.178,10,2,1021,0,1023,0,40619745
1024.747,3,2,1021,0,1023,0,40619745
1036.837,4,2,1034,0,1036,0,41135910
1037.885,9,2,1034,0,1036,0,41135910
1054.226,8,2,1051,0,1053,0,41810895
1055.157,5,1,1052,0,1054,0,41849610
1069.966,6,1,1067,0,1069,0,42445185
1071.922,7,1,1069,0,1071,0,42524595
1212.472,1,3,1208,0,1211,0,48085050
1213.584,2,3,1209,0,1212,0,48124755
1224.201,10,2,1220,0,1223,0,48560520
1224.771,3,2,1221,0,1223,0,48560745
1236.861,4,2,1233,0,1236,0,49076685
1237.908,9,2,1234,0,1236,0,49076910
1254.249,8,2,1251,0,1253,0,49751895
1255.18,5,2,1251,0,1254,0,49791375
1269.989,6,2,1267,0,1269,0,50387175
1271.945,7,2,1269,0,1271,0,50466585
1412.496,1,3,1408,0,1411,0,56026050
1413.608,2,3,1409,0,1412,0,56065755
1424.225,10,2,1420,0,1423,0,56501520
1424.794,3,2,1420,0,1423,0,56501520
1436.884,4,2,1433,0,1436,0,57017685
1437.932,9,2,1434,0,1436,0,57017910
1454.272,8,2,1451,0,1453,0,57692895
1455.204,5,2,1451,0,1454,0,57732375
1470.013,6,2,1467,0,1469,0,58328175
1471.969,7,2,1468,0,1471,0,58407360
1612.519,1,3,1608,0,1611,0,63967050
1613.631,2,3,1609,0,1612,0,64006755
1624.248,10,2,1620,0,1623,0,64442520
1624.818,3,2,1620,0,1623,0,64442520
1636.907,4,2,1633,0,1636,0,64958685
1637.955,9,2,1634,0,1636,0,64958910
1654.296,8,2,1651,0,1653,0,65633895
1655.227,5,2,1651,0,1654,0,65673375
1670.036,6,2,1667,0,1669,0,66269175
1671.992,7,2,1668,0,1671,0,66348360
1812.543,1,4,1807,0,1811,0,71908815
1813.655,2,4,1809,0,1812,0,71948745
1824.272,10,3,1820,0,1823,0,72384510
1824.841,3,3,1820,0,1823,0,72384510
1836.931,4,2,1833,0,1836,0,72899685
1837.979,9,2,1834,0,1836,0,72899910
1854.319,8,2,1851,0,1853,0,73574895
1855.251,5,2,1851,0,1854,0,73614375
1870.06,6,2,1866,0,1869,0,74209950
1872.015,7,2,1868,0,1871,0,74289360
2012.566,1,4,2007,0,2011,0,79849815
2013.678,2,4,2008,0,2012,0,79889520
2024.295,10,3,2019,0,2023,0,80325285
2024.865,3,3,2020,0,2023,0,80325510
2036.954,4,3,2033,0,2036,0,80841675
2038.002,9,3,2033,0,2036,0,80841675
2054.343,8,3,2050,0,2053,0,81516660
2055.274,5,2,2051,0,2054,0,81555375
2070.083,6,3,2066,0,2069,0,82151940
2072.039,7,3,2068,0,2071,0,82231350
2212.59,1,4,2207,0,2211,0,87790815
2213.701,2,4,2208,0,2212,0,87830520
2224.319,10,3,2219,0,2223,0,88266285
2224.888,3,3,2219,0,2223,0,88266285
2236.978,4,3,2232,0,2236,0,88782450
2238.025,9,3,2233,0,2236,0,88782675
2254.366,8,3,2250,0,2253,0,89457660
2255.298,5,3,2251,0,2254,0,89497365
2270.107,6,3,2266,0,2269,0,90092940
2272.062,7,3,2268,0,2271,0,90172350
2412.613,1,4,2407,0,2411,0,95731815
2413.725,2,4,2408,0,2412,0,95771520
2424.342,10,3,2419,0,2423,0,96207285
2424.911,3,3,2419,0,2423,0,96207285
2437.001,4,3,2432,0,2436,0,96723450
2438.049,9,3,2433,0,2436,0,96723675
2454.39,8,3,2450,0,2453,0,97398660
2455.321,5,3,2450,0,2454,0,97438140
2470.13,6,3,2466,0,2469,0,98033940
2472.086,7,3,2467,0,2471,0,98113125
2612.637,1,5,2606,0,2611,0,103673580
2613.749,2,5,2608,0,2612,0,103713510
