Time,ID,Active Duration,LPM1 Duration,LPM4 Duration,RX Duration,TX Duration,Total Energy
212.352,1,0,211,0,12,0,521235
213.464,2,0,212,0,13,0,560940
412.376,1,0,411,0,24,0,1039995
413.488,2,0,412,0,30,0,1277100
520.832,6,1,519,0,321,0,12790845
524.693,8,1,523,0,325,0,12949665
533.48,3,1,530,0,333,0,13267080
538.52,10,1,536,0,338,0,13465830
612.4,1,0,610,0,55,0,2308650
613.511,2,1,611,0,72,0,2981025
720.855,6,2,718,0,521,0,20732610
724.716,8,1,722,0,340,0,13586640
733.504,3,2,730,0,351,0,14023710
738.544,10,1,735,0,357,0,14260725
812.424,1,1,810,0,206,0,8316120
813.535,2,1,811,0,234,0,9421785
847.226,5,2,843,0,647,0,25735215
850.928,7,3,846,0,651,0,25894800
861.008,9,3,856,0,660,0,26252370
861.992,4,2,858,0,662,0,26330790
920.879,6,2,917,0,584,0,23264625
924.74,8,1,922,0,409,0,16355760
933.527,3,2,930,0,424,0,16950750
938.567,10,2,935,0,430,0,17188755
1012.448,1,1,1010,0,406,0,16257120
1013.56,2,1,1011,0,434,0,17362785
1047.25,5,2,1043,0,847,0,33676215
1050.952,7,3,1046,0,851,0,33835800
1061.033,9,3,1056,0,712,0,28350330
1062.016,4,2,1058,0,722,0,28744590
1120.903,6,2,1117,0,784,0,31205625
1124.764,8,1,1122,0,609,0,24296760
1133.552,3,2,1129,0,624,0,24891525
1138.592,10,2,1135,0,630,0,25129755
1212.472,1,1,1210,0,532,0,21276600
1213.584,2,1,1211,0,568,0,22698105
1247.274,5,3,1243,0,1047,0,41618205
1250.976,7,3,1246,0,1051,0,41776800
1261.056,9,3,1256,0,912,0,36291330
1262.04,4,3,1258,0,922,0,36686580
1320.926,6,2,1317,0,821,0,32711385
1324.788,8,2,1322,0,650,0,25961430
1333.575,3,2,1329,0,669,0,26713125
1338.615,10,2,1335,0,679,0,27109275
1412.495,1,1,1410,0,732,0,29217600
1413.607,2,2,1411,0,768,0,30640095
1447.298,5,3,1443,0,1247,0,49559205
1451.0,7,3,1446,0,1251,0,49717800
1461.08,9,3,1456,0,941,0,37481250
